dataset,variant,n,sensitivity,specificity,auto_rate,human_review_rate,auto_include_rate,auto_exclude_rate,tp,fn,tn,fp,fn_added_vs_base,fn_rescued_vs_base,decision_counts
Jeyaraman_2020,base,1173,1.0,0.06592386258124419,0.9838022165387894,0.01619778346121057,0.9232736572890026,0.060528559249786874,96,0,71,1006,0,0,"{'INCLUDE': 1083, 'EXCLUDE': 71, 'HUMAN_REVIEW': 19}"
Jeyaraman_2020,old_hr_both_include_or_exclude,1173,1.0,0.07428040854224698,0.9914748508098892,0.008525149190110827,0.9232736572890026,0.06820119352088662,96,0,80,997,0,0,"{'INCLUDE': 1083, 'EXCLUDE': 80, 'HUMAN_REVIEW': 10}"
Jeyaraman_2020,hr_include_only_both_include,1173,1.0,0.06592386258124419,0.9838022165387894,0.01619778346121057,0.9232736572890026,0.060528559249786874,96,0,71,1006,0,0,"{'INCLUDE': 1083, 'EXCLUDE': 71, 'HUMAN_REVIEW': 19}"
Jeyaraman_2020,auto_exclude_veto_any_include,1173,1.0,0.06592386258124419,0.9838022165387894,0.01619778346121057,0.9232736572890026,0.060528559249786874,96,0,71,1006,0,0,"{'INCLUDE': 1083, 'EXCLUDE': 71, 'HUMAN_REVIEW': 19}"
Jeyaraman_2020,auto_exclude_veto_both_include,1173,1.0,0.06592386258124419,0.9838022165387894,0.01619778346121057,0.9232736572890026,0.060528559249786874,96,0,71,1006,0,0,"{'INCLUDE': 1083, 'EXCLUDE': 71, 'HUMAN_REVIEW': 19}"
Jeyaraman_2020,include_only_plus_veto_any_include,1173,1.0,0.06592386258124419,0.9838022165387894,0.01619778346121057,0.9232736572890026,0.060528559249786874,96,0,71,1006,0,0,"{'INCLUDE': 1083, 'EXCLUDE': 71, 'HUMAN_REVIEW': 19}"
Chou_2003,base,1906,1.0,0.04547858276044421,0.20828961175236096,0.7917103882476391,0.16316894018887723,0.04512067156348373,15,0,86,1805,0,0,"{'INCLUDE': 311, 'EXCLUDE': 86, 'HUMAN_REVIEW': 1509}"
Chou_2003,old_hr_both_include_or_exclude,1906,0.8,0.5409836065573771,0.7030430220356768,0.2969569779643232,0.16474291710388247,0.5383001049317944,12,3,1023,868,3,0,"{'INCLUDE': 314, 'EXCLUDE': 1026, 'HUMAN_REVIEW': 566}"
Chou_2003,hr_include_only_both_include,1906,1.0,0.04547858276044421,0.2098635886673662,0.7901364113326338,0.16474291710388247,0.04512067156348373,15,0,86,1805,0,0,"{'INCLUDE': 314, 'EXCLUDE': 86, 'HUMAN_REVIEW': 1506}"
Chou_2003,auto_exclude_veto_any_include,1906,1.0,0.04547858276044421,0.20828961175236096,0.7917103882476391,0.16316894018887723,0.04512067156348373,15,0,86,1805,0,0,"{'INCLUDE': 311, 'EXCLUDE': 86, 'HUMAN_REVIEW': 1509}"
