dataset,target_recall,n_total,n_includes,a13b_sensitivity,a13b_hr_count,auto_include_tp,hr_true_includes,auto_exclude_true_includes,hr_only_nb_records,hr_only_elas_u4_records,hr_only_best_records,hr_only_reachable,safety_queue_nb_records,safety_queue_elas_u4_records,safety_queue_best_records,safety_queue_reachable,asreview_nb_records,asreview_elas_u4_records,asreview_best_records
CLEF_CD000996,0.95,281,6,1.0,181,6,0,0,0,0,0,True,0,0,0,True,12.8,9.4,9.4
CLEF_CD001261,0.95,571,22,1.0,518,16,6,0,30.2,23.6,23.6,True,30.2,23.6,23.6,True,53.6,57.8,53.6
CLEF_CD004414,0.95,336,7,1.0,117,6,1,0,4.2,2,2,True,5.6,2.6,2.6,True,67,43.6,43.6
CLEF_CD006468,0.95,3874,12,1.0,3732,10,2,0,160.4,48.2,48.2,True,162,48.2,48.2,True,183.8,64.4,64.4
CLEF_CD007867,0.95,943,9,1.0,796,9,0,0,0,0,0,True,0,0,0,True,246.8,194.8,194.8
CLEF_CD009069,0.95,1757,5,1.0,1540,4,1,0,167.2,36.4,36.4,True,170.8,37.2,37.2,True,337.4,139.2,139.2
CLEF_CD009642,0.95,1922,50,1.0,1842,43,7,0,81.6,16.6,16.6,True,81.6,16.6,16.6,True,202.4,104,104
CLEF_CD010038,0.95,8867,9,1.0,4698,8,1,0,211.6,152.6,152.6,True,358.4,182.8,182.8,True,3983.2,1150.8,1150.8
CLEF_CD010239,0.95,224,10,1.0,209,5,5,0,7.6,6,6,True,7.6,6,6,True,14.8,11.2,11.2
CLEF_CD010558,0.95,2815,10,1.0,1833,8,2,0,323.2,169.6,169.6,True,433.4,191,191,True,483.4,222.2,222.2
CLEF_CD010753,0.95,2539,20,1.0,2450,15,5,0,278.8,155.2,155.2,True,279.2,155.2,155.2,True,738,499.4,499.4
CLEF_CD011571,0.95,146,6,1.0,110,4,2,0,10.8,13.2,10.8,True,11.4,13.8,11.4,True,16.4,19,16.4
CLEF_CD011768,0.95,9160,25,1.0,8177,20,5,0,143.6,84.6,84.6,True,147.4,85.2,85.2,True,543.8,596.8,543.8
CLEF_CD011977,0.95,195,37,0.972972972972973,137,25,11,1,89.4,42.8,42.8,True,80.8,39.2,39.2,True,128.6,85.2,85.2
CLEF_CD012069,0.95,3479,245,1.0,3066,45,200,0,1796.2,1366.4,1366.4,True,1857.4,1396,1396,True,2043.2,1633.8,1633.8
CLEF_CD012164,0.95,61,3,1.0,43,2,1,0,12.2,3.2,3.2,True,13.6,3.4,3.4,True,25,12.4,12.4
CLEF_CD012455,0.95,1593,5,1.0,1457,2,3,0,23,27.2,23,True,23.2,27.2,23.2,True,27,30.2,27
CLEF_CD012551,0.95,591,29,1.0,515,25,4,0,46.2,88.4,46.2,True,46.6,88.8,46.6,True,186,149.8,149.8
Cohen_ACEInhibitors,0.95,2544,41,1.0,1844,38,3,0,8.4,10.6,8.4,True,8.6,10.8,8.6,True,424,410.2,410.2
Cohen_ADHD,0.95,851,20,1.0,306,20,0,0,0,0,0,True,0,0,0,True,312,206.2,206.2
Cohen_Antihistamines,0.95,310,16,1.0,202,9,7,0,186,193,186,True,223,232,223,True,290,299,290
Cohen_AtypicalAntipsychotics,0.95,1120,146,1.0,738,78,68,0,328,291.4,291.4,True,328,291.4,291.4,True,764.4,711.8,711.8
Cohen_BetaBlockers,0.95,2072,42,0.9761904761904762,1565,35,6,1,973.8,304,304,True,808.4,309.8,309.8,True,1124.6,527.2,527.2
Cohen_CalciumChannelBlockers,0.95,1218,100,1.0,524,85,15,0,117.2,99.8,99.8,True,118.2,99.8,99.8,True,580.2,568.6,568.6
Cohen_Estrogens,0.95,368,80,1.0,187,58,22,0,53.6,69,53.6,True,57.4,73.2,57.4,True,206,212.8,206
