dataset,n_total,a13b_sens,a13b_fn,a13b_hr_count,a13b_hr_rate,a13b_auto_exc,a13b_qualifies_R0985,asr_nb_records_R0985_avg,asr_nb_wss_0985_avg,asr_u4_records_R0985_avg,asr_u4_wss_0985_avg,asr_min_records_R0985,asr_best_algo_records_R0985,a13b_minus_asr_records,a13b_wins
CLEF_CD000996,281,1.0,0,181,0.6441281138790036,92,True,12.8,0.9394483985765124,9.4,0.9515480427046263,9,9.4,171.6,False
CLEF_CD001261,571,1.0,0,518,0.9071803852889667,7,True,62.4,0.8757180385288966,62.2,0.8760683012259194,56,62.2,455.8,False
CLEF_CD004414,336,1.0,0,117,0.3482142857142857,198,True,67,0.7855952380952381,43.6,0.8552380952380952,43,43.6,73.4,False
CLEF_CD006468,3874,1.0,0,3732,0.963345379452762,96,True,183.8,0.937555498193082,64.4,0.9683763551884357,37,64.4,3667.6,False
CLEF_CD007867,943,1.0,0,796,0.8441145281018028,108,True,246.8,0.7232820784729587,194.8,0.7784252386002121,76,194.8,601.2,False
CLEF_CD009069,1757,1.0,0,1540,0.8764940239043825,53,True,337.4,0.7929681274900399,139.2,0.905774046670461,100,139.2,1400.8,False
CLEF_CD009642,1922,1.0,0,1842,0.9583766909469302,19,True,805.2,0.5660613943808532,713,0.6140322580645161,713,713,1129,False
CLEF_CD010038,8867,1.0,0,4698,0.5298297056501635,4131,True,3983.2,0.5357838051201083,1150.8,0.8552154054358858,1020,1150.8,3547.2,False
CLEF_CD010239,224,1.0,0,209,0.9330357142857143,1,True,14.8,0.9189285714285714,11.2,0.9349999999999999,11,11.2,197.8,False
CLEF_CD010558,2815,1.0,0,1833,0.6511545293072825,942,True,483.4,0.8132770870337478,222.2,0.9060657193605683,175,222.2,1610.8,False
CLEF_CD010753,2539,1.0,0,2450,0.9649468294604174,8,True,1844.6,0.25849350137849547,580.8,0.7562485230405671,567,580.8,1869.2,False
CLEF_CD011571,146,1.0,0,110,0.7534246575342466,31,True,16.4,0.8726712328767123,19,0.8548630136986302,13,16.4,93.6,False
CLEF_CD011768,9160,1.0,0,8177,0.8926855895196506,907,True,993.8,0.8765065502183406,642,0.9149126637554585,629,642,7535,False
CLEF_CD011977,195,0.972972972972973,1,137,0.7025641025641025,8,False,142.2,0.25576923076923075,91,0.5183333333333333,88,91,None,None
CLEF_CD012069,3479,1.0,0,3066,0.8812877263581489,159,True,2541.4,0.25450273066973267,2349.2,0.309748490945674,2341,2349.2,716.8000000000002,False
CLEF_CD012164,61,1.0,0,43,0.7049180327868853,15,True,25,0.5751639344262295,12.4,0.7817213114754098,8,12.4,30.6,False
CLEF_CD012455,1593,1.0,0,1457,0.9146264908976773,132,True,27,0.9680508474576272,30.2,0.9660420590081608,20,27,1430,False
CLEF_CD012551,591,1.0,0,515,0.871404399323181,11,True,271.6,0.5254399323181049,166.2,0.7037817258883249,164,166.2,348.8,False
Cohen_ACEInhibitors,2544,1.0,0,1844,0.7248427672955975,129,True,2368.2,0.05410377358490563,1640.2,0.34026729559748425,1636,1640.2,203.79999999999995,False
Cohen_ADHD,851,1.0,0,306,0.3595769682726204,436,True,423,0.48793772032902466,338.4,0.5873501762632197,229,338.4,-32.39999999999998,True
Cohen_Antihistamines,310,1.0,0,202,0.6516129032258065,41,True,290,0.049516129032258105,299,0.020483870967741957,290,290,-88,True
Cohen_AtypicalAntipsychotics,1120,1.0,0,738,0.6589285714285714,0,True,996.4,0.09535714285714288,1004,0.08857142857142852,996,996.4,-258.4,True
Cohen_BetaBlockers,2072,0.9761904761904762,1,1565,0.7553088803088803,88,False,1659.2,0.1842277992277992,1689,0.16984555984555982,1647,1659.2,None,None
Cohen_CalciumChannelBlockers,1218,1.0,0,524,0.4302134646962233,9,True,855.2,0.2828653530377668,747.6,0.3712068965517241,648,747.6,-223.60000000000002,True
Cohen_Estrogens,368,1.0,0,187,0.5081521739130435,48,True,255.6,0.29043478260869565,268,0.2567391304347826,253,255.6,-68.6,True
Cohen_NSAIDS,393,1.0,0,317,0.806615776081425,7,True,133.6,0.6450508905852417,105.6,0.716297709923664,101,105.6,211.4,False
Cohen_Opiods,1915,1.0,0,1798,0.9389033942558747,92,True,1405.8,0.25090078328981724,1319.8,0.29580939947780677,1267,1319.8,478.20000000000005,False
Cohen_OralHypoglycemics,503,0.9926470588235294,1,428,0.8508946322067594,17,True,437.2,0.11581510934393638,478,0.034701789264413474,434,437.2,-9.199999999999989,True
Cohen_ProtonPumpInhibitors,1333,1.0,0,829,0.6219054763690923,50,True,1117,0.14704051012753186,766.2,0.41020630157539384,732,766.2,62.799999999999955,False
Cohen_SkeletalMuscleRelaxants,1643,1.0,0,1552,0.9446135118685332,67,True,1144.6,0.2883475349969568,1089.2,0.3220663420572124,984,1089.2,462.79999999999995,False
Cohen_Statins,3463,1.0,0,2239,0.6465492347675426,8,True,2810.8,0.1733338146116084,2229.2,0.34128068149003754,1838,2229.2,9.800000000000182,False
Cohen_Triptans,671,1.0,0,463,0.6900149031296572,50,True,542.2,0.17695230998509687,423.4,0.3540014903129657,265,423.4,39.60000000000002,False
Cohen_UrinaryIncontinence,327,1.0,0,251,0.7675840978593272,0,True,184.2,0.42169724770642203,214.2,0.329954128440367,173,184.2,66.80000000000001,False
