dataset,record_id,title,tier,decision,models_called,sprt_early_stop,p_include,exclude_certainty_passes,loss_prefers_exclude,effective_difficulty,publication_hard_keyword,title_patterns,study_design_include_title_hits,study_design_exclude_title_hits,criteria_notes_review_of_reviews,inferred_path
Menon_2022,https://openalex.org/W3015707181,Maternal air pollution exposure and congenital heart defects in offspring: A systematic review and meta-analysis,0,EXCLUDE,0,False,,,,,systematic review,meta-analysis|systematic review,systematic review|meta-analysis,,True,metadata_publication_hard_rule_precheck
Menon_2022,https://openalex.org/W3007571091,The banned sunscreen ingredients and their impact on human health: a systematic review,0,EXCLUDE,0,False,,,,,systematic review,systematic review,systematic review,,True,metadata_publication_hard_rule_precheck
Menon_2022,https://openalex.org/W3016252286,Association between Female Reproductive Health and Mancozeb: Systematic Review of Experimental Models,0,EXCLUDE,0,False,,,,,systematic review,systematic review,systematic review,,True,metadata_publication_hard_rule_precheck
Menon_2022,https://openalex.org/W3032254257,Traffic-related metrics and adverse birth outcomes: A systematic review and meta-analysis,0,EXCLUDE,0,False,,,,,systematic review,meta-analysis|systematic review,systematic review|meta-analysis,,True,metadata_publication_hard_rule_precheck
Menon_2022,https://openalex.org/W3021612513,Exposure to heavy metals and the risk of osteopenia or osteoporosis: a systematic review and meta-analysis,0,EXCLUDE,0,False,,,,,systematic review,meta-analysis|systematic review,systematic review|meta-analysis,,True,metadata_publication_hard_rule_precheck
Menon_2022,https://openalex.org/W3008803419,Environmental exposure to nonylphenol and cancer progression Risk–A systematic review,0,EXCLUDE,0,False,,,,,systematic review,systematic review,systematic review,,True,metadata_publication_hard_rule_precheck
Menon_2022,https://openalex.org/W3012478040,Evaluating health risks associated with exposure to ambient surface waters during recreational activities: A systematic review and meta-analysis,0,EXCLUDE,0,False,,,,,systematic review,meta-analysis|systematic review,systematic review|meta-analysis,,True,metadata_publication_hard_rule_precheck
Menon_2022,https://openalex.org/W3003500060,Effect modification of the short-term effects of air pollution on morbidity by season: A systematic review and meta-analysis,0,EXCLUDE,0,False,,,,,systematic review,meta-analysis|systematic review,systematic review|meta-analysis,,True,metadata_publication_hard_rule_precheck
Menon_2022,https://openalex.org/W2985113252,Food Insecurity and Cognitive Function in Middle to Older Adulthood: A Systematic Review,0,EXCLUDE,0,False,,,,,systematic review,systematic review,systematic review,,True,metadata_publication_hard_rule_precheck
Menon_2022,https://openalex.org/W3019298116,"Influence of polychlorinated biphenyls and organochlorine pesticides on the inflammatory milieu. A systematic review of in vitro, in vivo and epidemiological studies",0,EXCLUDE,0,False,,,,,systematic review,systematic review,systematic review,,True,metadata_publication_hard_rule_precheck
Menon_2022,https://openalex.org/W3015482342,Positive Association of Cardiovascular Disease (CVD) with Chronic Exposure to Drinking Water Arsenic (As) at Concentrations below the WHO Provisional Guideline Value: A Systematic Review and Meta-analysis,0,EXCLUDE,0,False,,,,,systematic review,meta-analysis|systematic review,systematic review|meta-analysis,,True,metadata_publication_hard_rule_precheck
Menon_2022,https://openalex.org/W2968397684,Maternal Exposure to Cadmium and Fetal Growth: a Systematic Review and Meta-Analysis,0,EXCLUDE,0,False,,,,,systematic review,meta-analysis|systematic review,systematic review|meta-analysis,,True,metadata_publication_hard_rule_precheck
Menon_2022,https://openalex.org/W2999401301,A systematic review on the effect of work-related stressors on mental health of young workers,0,EXCLUDE,0,False,,,,,systematic review,systematic review,systematic review,,True,metadata_publication_hard_rule_precheck
Menon_2022,https://openalex.org/W3026006037,"Pesticides used in Europe and autism spectrum disorder risk: can novel exposure hypotheses be formulated beyond organophosphates, organochlorines, pyrethroids and carbamates? - A systematic review",0,EXCLUDE,0,False,,,,,systematic review,systematic review,systematic review,,True,metadata_publication_hard_rule_precheck
Menon_2022,https://openalex.org/W2991407476,Index-based dietary patterns in relation to gastric cancer risk: a systematic review and meta-analysis,0,EXCLUDE,0,False,,,,,systematic review,meta-analysis|systematic review,systematic review|meta-analysis,,True,metadata_publication_hard_rule_precheck
Menon_2022,https://openalex.org/W3027315947,Transgenerational epigenetic effects from male exposure to endocrine-disrupting compounds: a systematic review on research in mammals,0,EXCLUDE,0,False,,,,,systematic review,systematic review,systematic review,,True,metadata_publication_hard_rule_precheck
Menon_2022,https://openalex.org/W2986024018,Long-term exposure to outdoor air pollution and the risk of development of rheumatoid arthritis: A systematic review and meta-analysis,0,EXCLUDE,0,False,,,,,systematic review,meta-analysis|systematic review,systematic review|meta-analysis,,True,metadata_publication_hard_rule_precheck
Menon_2022,https://openalex.org/W3015473841,Bisphenol A and the Risk of Obesity a Systematic Review With Meta-Analysis of the Epidemiological Evidence,0,EXCLUDE,0,False,,,,,systematic review,meta-analysis|systematic review,systematic review|meta-analysis,,True,metadata_publication_hard_rule_precheck
Menon_2022,https://openalex.org/W3002131152,Maternal mycotoxin exposure and adverse pregnancy outcomes: a systematic review,0,EXCLUDE,0,False,,,,,systematic review,systematic review,systematic review,,True,metadata_publication_hard_rule_precheck
Menon_2022,https://openalex.org/W2887232568,Talc exposure and risk of stomach cancer: Systematic review and meta-analysis of occupational cohort studies,0,EXCLUDE,0,False,,,,,systematic review,meta-analysis|systematic review,systematic review|meta-analysis,,True,metadata_publication_hard_rule_precheck
Menon_2022,https://openalex.org/W2989222914,The effects of neck muscle vibration on postural orientation and spatial perception: A systematic review,0,EXCLUDE,0,False,,,,,systematic review,systematic review,systematic review,,True,metadata_publication_hard_rule_precheck
