dataset,scope,true_label,proposed_direction,hr_primary_cause,n
Walker_2018,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty_or_possible_eas_widened_margin,29069
Brouwer_2019,other,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,21796
Wassenaar_2017,other,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,6778
CLEF_CD011768,external,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,6524
Hall_2012,other,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,6112
Moran_2021,other,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,4776
van_de_Schoot_2018,other,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,4205
Wolters_2018,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty_or_possible_eas_widened_margin,3369
CLEF_CD010038,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty_or_possible_eas_widened_margin,3041
Radjenovic_2013,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty,2920
CLEF_CD012069,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty_or_possible_eas_widened_margin,2391
CLEF_CD010753,external,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,2134
Bos_2018,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty,1905
Cohen_Statins,external,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,1900
Walker_2018,other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,1805
CLEF_CD009642,external,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,1674
Cohen_Opiods,external,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,1503
Cohen_ACEInhibitors,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,1383
Appenzeller-Herzog_2019,other,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,1359
Chou_2004,other,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,1219
Cohen_SkeletalMuscleRelaxants,external,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,1208
CLEF_CD006468,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty_or_possible_eas_widened_margin,1160
Cohen_BetaBlockers,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,1139
CLEF_CD012455,external,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,1095
CLEF_CD006468,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,1046
Bos_2018,other,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,996
CLEF_CD009069,external,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,952
CLEF_CD011768,external,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,839
CLEF_CD010038,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,811
Meijboom_2021,other,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,687
CLEF_CD010558,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,683
CLEF_CD010558,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty_or_possible_eas_widened_margin,613
Cohen_ProtonPumpInhibitors,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,573
Cohen_AtypicalAntipsychotics,external,0,INCLUDE,include_blocked_by_low_ecs,562
CLEF_CD010038,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,486
Wolters_2018,other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,479
Cohen_ACEInhibitors,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,462
CLEF_CD007867,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty_or_possible_eas_widened_margin,456
Cohen_CalciumChannelBlockers,external,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,445
CLEF_CD012551,external,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,435
Hall_2012,other,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,431
