file,dataset,config,n_records,n_valid,n_errors,n_skipped,old_metrics_schema_version,new_metrics_schema_version,old_auto_rate,new_decision_auto_rate,tier_auto_rate,delta_auto_rate,human_review_rate,auto_include_rate,auto_exclude_rate,sensitivity,specificity,tp,fn,tn,fp,ranking_wss95_ecs,ranking_wss95_p_include,ranking_wss95_final_score,result_rows_sha256,status,issues
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD000996/a0.json,CLEF_CD000996,a0,281,281,0,0,1,2,1.0,1.0,1.0,0.0,0.0,0.02491103202846975,0.9750889679715302,1.0,0.9963636363636363,6,0,274,1,0.053202846975088924,,0.8895017793594305,77a89887e5a1946e8838a19dc9bee2bd03ad122e3d6f4ec85aec77a6ed2301c8,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD000996/a1.json,CLEF_CD000996,a1,281,281,0,0,1,2,0.9679715302491103,0.9679715302491103,0.99644128113879,0.0,0.03202846975088968,0.028469750889679714,0.9395017793594306,1.0,0.96,6,0,264,11,0.9037366548042705,,0.9286476868327401,af5f0decdcc51ccaa486ddfb439ff3930091aec283007c47ea58f439cb90465c,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD000996/a10_fixed_margin.json,CLEF_CD000996,a10_fixed_margin,281,281,0,0,1,2,0.3096085409252669,0.3096085409252669,0.3096085409252669,0.0,0.6903914590747331,0.028469750889679714,0.28113879003558717,1.0,0.2872727272727273,6,0,79,196,0.8752669039145907,0.9250889679715302,0.9250889679715302,9f31dad07213ec00ec91241e9ced32d38b7f763737f5b03bac0ebc8a986d5c53,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD000996/a11_rule_exclude.json,CLEF_CD000996,a11_rule_exclude,281,281,0,0,1,2,0.2846975088967972,0.2846975088967972,0.2846975088967972,0.0,0.7153024911032029,0.028469750889679714,0.25622775800711745,1.0,0.26181818181818184,6,0,72,203,0.8752669039145907,0.9250889679715302,0.9250889679715302,fbe32f823aa1e8bb5fa80717b86d916ab28fca46a16dae2190ccb028abba44bf,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD000996/a13b_coverage_rule.json,CLEF_CD000996,a13b_coverage_rule,281,281,0,0,1,2,0.35587188612099646,0.35587188612099646,0.35587188612099646,0.0,0.6441281138790036,0.028469750889679714,0.3274021352313167,1.0,0.33454545454545453,6,0,92,183,0.8752669039145907,0.9250889679715302,0.9250889679715302,e68a1f1543e7b73a11538cd0e7cef6868d61ad0f1279003d5fa25166c76a8794,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD000996/a14a_difficulty_floor_060.json,CLEF_CD000996,a14a_difficulty_floor_060,281,281,0,0,1,2,0.35587188612099646,0.35587188612099646,0.35587188612099646,0.0,0.6441281138790036,0.028469750889679714,0.3274021352313167,1.0,0.33454545454545453,6,0,92,183,0.8752669039145907,0.9250889679715302,0.9250889679715302,e68a1f1543e7b73a11538cd0e7cef6868d61ad0f1279003d5fa25166c76a8794,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD000996/a14b_difficulty_floor_080.json,CLEF_CD000996,a14b_difficulty_floor_080,281,281,0,0,1,2,0.35587188612099646,0.35587188612099646,0.35587188612099646,0.0,0.6441281138790036,0.028469750889679714,0.3274021352313167,1.0,0.33454545454545453,6,0,92,183,0.8752669039145907,0.9250889679715302,0.9250889679715302,e68a1f1543e7b73a11538cd0e7cef6868d61ad0f1279003d5fa25166c76a8794,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD000996/a14c_difficulty_floor_100.json,CLEF_CD000996,a14c_difficulty_floor_100,281,281,0,0,1,2,0.35587188612099646,0.35587188612099646,0.35587188612099646,0.0,0.6441281138790036,0.028469750889679714,0.3274021352313167,1.0,0.33454545454545453,6,0,92,183,0.8752669039145907,0.9250889679715302,0.9250889679715302,e68a1f1543e7b73a11538cd0e7cef6868d61ad0f1279003d5fa25166c76a8794,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD000996/a2.json,CLEF_CD000996,a2,281,281,0,0,1,2,0.9608540925266904,0.9608540925266904,0.9893238434163701,0.0,0.03914590747330961,0.021352313167259787,0.9395017793594306,1.0,0.96,6,0,264,11,0.9037366548042705,0.9286476868327401,0.9286476868327401,b0af5523e9f8ac51817fc43376d39e5b7974fead1a141358e7cba2ff9aa752e5,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD000996/a3.json,CLEF_CD000996,a3,281,281,0,0,1,2,0.7366548042704626,0.7366548042704626,0.7366548042704626,0.0,0.26334519572953735,0.028469750889679714,0.708185053380783,1.0,0.7236363636363636,6,0,199,76,0.9037366548042705,0.9286476868327401,0.9286476868327401,90bf6ca913382c47251eb95693c1ed088f08062412fd55b4cdb17392bbd9222d,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD000996/a4.json,CLEF_CD000996,a4,281,281,0,0,1,2,0.298932384341637,0.298932384341637,0.298932384341637,0.0,0.701067615658363,0.028469750889679714,0.2704626334519573,1.0,0.27636363636363637,6,0,76,199,0.8966192170818504,0.9286476868327401,0.9286476868327401,d6a5e0292b2d8d0357b95027280cba6f504a1d15afd192150f2130516be7ed74,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD000996/a5.json,CLEF_CD000996,a5,281,281,0,0,1,2,0.3096085409252669,0.3096085409252669,0.3096085409252669,0.0,0.6903914590747331,0.042704626334519574,0.2669039145907473,1.0,0.2727272727272727,6,0,75,200,0.8752669039145907,0.9286476868327401,0.9286476868327401,542d4c0563a462edf94e253328b778f4fc3e310d884486dabc299880f82a1c64,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD000996/a6.json,CLEF_CD000996,a6,281,281,0,0,1,2,0.3096085409252669,0.3096085409252669,0.3096085409252669,0.0,0.6903914590747331,0.028469750889679714,0.28113879003558717,1.0,0.2872727272727273,6,0,79,196,0.8752669039145907,0.9250889679715302,0.9250889679715302,8b1970a78ebaffd6413061b01bb8c598122ebc6f69780628699bd9f0453df962,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD000996/a7.json,CLEF_CD000996,a7,281,281,0,0,1,2,0.3096085409252669,0.3096085409252669,0.3096085409252669,0.0,0.6903914590747331,0.028469750889679714,0.28113879003558717,1.0,0.2872727272727273,6,0,79,196,0.8752669039145907,0.9250889679715302,0.9250889679715302,8b1970a78ebaffd6413061b01bb8c598122ebc6f69780628699bd9f0453df962,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD000996/a8.json,CLEF_CD000996,a8,281,281,0,0,1,2,0.3096085409252669,0.3096085409252669,0.3096085409252669,0.0,0.6903914590747331,0.028469750889679714,0.28113879003558717,1.0,0.2872727272727273,6,0,79,196,0.8752669039145907,0.9250889679715302,0.9250889679715302,8b1970a78ebaffd6413061b01bb8c598122ebc6f69780628699bd9f0453df962,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD000996/a9.json,CLEF_CD000996,a9,281,281,0,0,1,2,0.3096085409252669,0.3096085409252669,0.3096085409252669,0.0,0.6903914590747331,0.028469750889679714,0.28113879003558717,1.0,0.2872727272727273,6,0,79,196,0.8752669039145907,0.9250889679715302,0.9250889679715302,9f31dad07213ec00ec91241e9ced32d38b7f763737f5b03bac0ebc8a986d5c53,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD000996/a9_no_sprt.json,CLEF_CD000996,a9_no_sprt,281,281,0,0,1,2,0.298932384341637,0.298932384341637,0.298932384341637,0.0,0.701067615658363,0.03558718861209965,0.26334519572953735,1.0,0.2690909090909091,6,0,74,201,0.8966192170818504,0.9286476868327401,0.9286476868327401,1c499f604c83324585d7203eacd8de63cc30d7be4954c43ef0f0cd0551fe22b0,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD000996/solo_deepseek-v3.json,CLEF_CD000996,solo_deepseek-v3,281,281,0,0,1,2,1.0,1.0,1.0,0.0,0.0,0.02491103202846975,0.9750889679715302,1.0,0.9963636363636363,6,0,274,1,0.053202846975088924,,0.8895017793594305,77a89887e5a1946e8838a19dc9bee2bd03ad122e3d6f4ec85aec77a6ed2301c8,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD000996/solo_kimi-k2.json,CLEF_CD000996,solo_kimi-k2,281,281,0,0,1,2,1.0,1.0,1.0,0.0,0.0,0.028469750889679714,0.9715302491103203,1.0,0.9927272727272727,6,0,273,2,0.053202846975088924,,0.9215302491103202,e3ca14e45c2de29d015bfb3c24d8ec80fef34201998a10a57b88eb24d4514b5d,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD000996/solo_llama4-maverick.json,CLEF_CD000996,solo_llama4-maverick,281,281,0,0,1,2,1.0,1.0,1.0,0.0,0.0,0.03558718861209965,0.9644128113879004,1.0,0.9854545454545455,6,0,271,4,0.053202846975088924,,0.9250889679715302,ad47b4841552cb77a4d00a7225e7ad9ed7951f8f7a4faf01e12abf8548adcb23,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD000996/solo_qwen3.json,CLEF_CD000996,solo_qwen3,281,281,0,0,1,2,1.0,1.0,1.0,0.0,0.0,0.03914590747330961,0.9608540925266904,1.0,0.9818181818181818,6,0,270,5,0.053202846975088924,,0.9250889679715302,2776846faf37ae6952ccec1383c3441201562b11e713a0f1978987c1591c6e68,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD001261/a0.json,CLEF_CD001261,a0,571,571,0,0,1,2,1.0,1.0,1.0,0.0,0.0,0.06654991243432574,0.9334500875656743,0.7272727272727273,0.9599271402550091,16,6,527,22,0.05507880910683008,,0.7293345008756567,ff4d219893676f80ac52631ea670f6eecd015bd190feb3bf8962f6e262659de6,ok,
