dataset,ranker,n_total,n_includes,reachable_095,work_095,wss_095,reachable_098,work_098,wss_098,reachable_0985,work_0985,wss_0985,reachable_099,work_099,wss_099
Donners_2021,lexical,257,15,True,126,0.5097276264591439,True,126,0.5097276264591439,True,126,0.5097276264591439,True,126,0.5097276264591439
Donners_2021,llm,257,15,True,176,0.3151750972762646,True,176,0.3151750972762646,True,176,0.3151750972762646,True,176,0.3151750972762646
Sep_2021,lexical,271,40,True,187,0.30996309963099633,True,220,0.1881918819188192,True,220,0.1881918819188192,True,220,0.1881918819188192
Sep_2021,llm,271,40,True,214,0.21033210332103325,True,271,0.0,True,271,0.0,True,271,0.0
Nelson_2002,lexical,365,80,True,270,0.26027397260273977,True,313,0.1424657534246575,True,313,0.1424657534246575,True,314,0.13972602739726026
Nelson_2002,llm,365,80,True,227,0.3780821917808219,True,239,0.3452054794520548,True,239,0.3452054794520548,True,279,0.23561643835616441
van_der_Valk_2021,lexical,725,89,True,437,0.39724137931034487,True,623,0.14068965517241383,True,623,0.14068965517241383,True,626,0.13655172413793104
van_der_Valk_2021,llm,725,89,True,509,0.2979310344827586,True,620,0.1448275862068965,True,620,0.1448275862068965,True,634,0.1255172413793103
Meijboom_2021,lexical,882,37,True,392,0.5555555555555556,True,880,0.0022675736961451642,True,880,0.0022675736961451642,True,880,0.0022675736961451642
Meijboom_2021,llm,882,37,True,503,0.42970521541950113,True,566,0.35827664399092973,True,566,0.35827664399092973,True,566,0.35827664399092973
Oud_2018,lexical,950,20,True,395,0.5842105263157895,True,688,0.2757894736842105,True,688,0.2757894736842105,True,688,0.2757894736842105
Oud_2018,llm,950,20,True,164,0.8273684210526315,True,301,0.6831578947368422,True,301,0.6831578947368422,True,301,0.6831578947368422
Menon_2022,lexical,975,74,True,727,0.25435897435897437,True,915,0.06153846153846154,True,915,0.06153846153846154,True,922,0.05435897435897441
Menon_2022,llm,975,74,True,395,0.5948717948717949,True,804,0.17538461538461536,True,804,0.17538461538461536,True,831,0.14769230769230768
Jeyaraman_2020,lexical,1173,96,True,893,0.23870417732310312,True,1065,0.09207161125319696,True,1065,0.09207161125319696,True,1094,0.06734867860187554
Jeyaraman_2020,llm,1173,96,True,749,0.36146632566069903,True,898,0.2344416027280477,True,898,0.2344416027280477,True,937,0.20119352088661546
Chou_2004,lexical,1622,9,True,1174,0.27620221948212087,True,1174,0.27620221948212087,True,1174,0.27620221948212087,True,1174,0.27620221948212087
Chou_2004,llm,1622,9,True,813,0.498766954377312,True,813,0.498766954377312,True,813,0.498766954377312,True,813,0.498766954377312
Chou_2003,lexical,1906,15,True,1741,0.08656873032528856,True,1741,0.08656873032528856,True,1741,0.08656873032528856,True,1741,0.08656873032528856
Chou_2003,llm,1906,15,True,1323,0.3058761804826863,True,1323,0.3058761804826863,True,1323,0.3058761804826863,True,1323,0.3058761804826863
van_der_Waal_2022,lexical,1970,33,True,840,0.5736040609137056,True,1251,0.36497461928934005,True,1251,0.36497461928934005,True,1251,0.36497461928934005
van_der_Waal_2022,llm,1970,33,True,884,0.551269035532995,True,967,0.5091370558375634,True,967,0.5091370558375634,True,967,0.5091370558375634
Smid_2020,lexical,2622,27,True,1245,0.5251716247139588,True,1301,0.503813882532418,True,1301,0.503813882532418,True,1301,0.503813882532418
Smid_2020,llm,2622,27,True,428,0.8367658276125095,True,444,0.8306636155606407,True,444,0.8306636155606407,True,444,0.8306636155606407
Muthu_2021,lexical,2719,336,True,2289,0.158146377344612,True,2524,0.07171754321441703,True,2527,0.07061419639573374,True,2592,0.046708348657594656
Muthu_2021,llm,2719,336,True,2156,0.20706141963957336,True,2411,0.11327694005148947,True,2492,0.08348657594703934,True,2528,0.07024641412283927
Appenzeller-Herzog_2019,lexical,2868,26,True,1352,0.5285913528591353,True,1868,0.3486750348675035,True,1868,0.3486750348675035,True,1868,0.3486750348675035
Appenzeller-Herzog_2019,llm,2868,26,True,1690,0.4107391910739191,True,2689,0.06241283124128316,True,2689,0.06241283124128316,True,2689,0.06241283124128316
