dataset,ranker,n_total,n_includes,auto_include_count,auto_include_tp,safety_queue_count,reachable_095,verified_work_095,queue_only_work_095,queue_prefix_095,reachable_098,verified_work_098,queue_only_work_098,queue_prefix_098,reachable_0985,verified_work_0985,queue_only_work_0985,queue_prefix_0985,reachable_099,verified_work_099,queue_only_work_099,queue_prefix_099
CLEF_CD000996,lexical,281,6,8,6,273,True,8,0,0,True,8,0,0,True,8,0,0,True,8,0,0
CLEF_CD000996,llm,281,6,8,6,273,True,8,0,0,True,8,0,0,True,8,0,0,True,8,0,0
CLEF_CD000996,fusion,281,6,8,6,273,True,8,0,0,True,8,0,0,True,8,0,0,True,8,0,0
CLEF_CD001261,lexical,571,22,46,16,525,True,117,71,71,True,142,96,96,True,142,96,96,True,142,96,96
CLEF_CD001261,llm,571,22,46,16,525,True,152,106,106,True,167,121,121,True,167,121,121,True,167,121,121
CLEF_CD001261,fusion,571,22,46,16,525,True,154,108,108,True,240,194,194,True,240,194,194,True,240,194,194
CLEF_CD004414,lexical,336,7,21,6,315,True,100,79,79,True,100,79,79,True,100,79,79,True,100,79,79
CLEF_CD004414,llm,336,7,21,6,315,True,42,21,21,True,42,21,21,True,42,21,21,True,42,21,21
CLEF_CD004414,fusion,336,7,21,6,315,True,50,29,29,True,50,29,29,True,50,29,29,True,50,29,29
CLEF_CD006468,lexical,3874,12,46,10,3828,True,105,59,59,True,105,59,59,True,105,59,59,True,105,59,59
CLEF_CD006468,llm,3874,12,46,10,3828,True,543,497,497,True,543,497,497,True,543,497,497,True,543,497,497
CLEF_CD006468,fusion,3874,12,46,10,3828,True,332,286,286,True,332,286,286,True,332,286,286,True,332,286,286
CLEF_CD007867,lexical,943,9,39,9,904,True,39,0,0,True,39,0,0,True,39,0,0,True,39,0,0
CLEF_CD007867,llm,943,9,39,9,904,True,39,0,0,True,39,0,0,True,39,0,0,True,39,0,0
CLEF_CD007867,fusion,943,9,39,9,904,True,39,0,0,True,39,0,0,True,39,0,0,True,39,0,0
CLEF_CD009069,lexical,1757,5,164,4,1593,True,175,11,11,True,175,11,11,True,175,11,11,True,175,11,11
CLEF_CD009069,llm,1757,5,164,4,1593,True,441,277,277,True,441,277,277,True,441,277,277,True,441,277,277
CLEF_CD009069,fusion,1757,5,164,4,1593,True,251,87,87,True,251,87,87,True,251,87,87,True,251,87,87
CLEF_CD009642,lexical,1922,50,61,43,1861,True,219,158,158,True,538,477,477,True,868,807,807,True,868,807,807
CLEF_CD009642,llm,1922,50,61,43,1861,True,463,402,402,True,497,436,436,True,1074,1013,1013,True,1074,1013,1013
CLEF_CD009642,fusion,1922,50,61,43,1861,True,117,56,56,True,155,94,94,True,776,715,715,True,776,715,715
CLEF_CD010038,lexical,8867,9,38,8,8829,True,162,124,124,True,162,124,124,True,162,124,124,True,162,124,124
CLEF_CD010038,llm,8867,9,38,8,8829,True,112,74,74,True,112,74,74,True,112,74,74,True,112,74,74
CLEF_CD010038,fusion,8867,9,38,8,8829,True,62,24,24,True,62,24,24,True,62,24,24,True,62,24,24
CLEF_CD010239,lexical,224,10,14,5,210,True,79,65,65,True,79,65,65,True,79,65,65,True,79,65,65
CLEF_CD010239,llm,224,10,14,5,210,True,126,112,112,True,126,112,112,True,126,112,112,True,126,112,112
CLEF_CD010239,fusion,224,10,14,5,210,True,23,9,9,True,23,9,9,True,23,9,9,True,23,9,9
CLEF_CD010558,lexical,2815,10,40,8,2775,True,552,512,512,True,552,512,512,True,552,512,512,True,552,512,512
CLEF_CD010558,llm,2815,10,40,8,2775,True,166,126,126,True,166,126,126,True,166,126,126,True,166,126,126
CLEF_CD010558,fusion,2815,10,40,8,2775,True,204,164,164,True,204,164,164,True,204,164,164,True,204,164,164
CLEF_CD010753,lexical,2539,20,81,15,2458,True,379,298,298,True,737,656,656,True,737,656,656,True,737,656,656
CLEF_CD010753,llm,2539,20,81,15,2458,True,571,490,490,True,658,577,577,True,658,577,577,True,658,577,577
CLEF_CD010753,fusion,2539,20,81,15,2458,True,395,314,314,True,909,828,828,True,909,828,828,True,909,828,828
CLEF_CD011571,lexical,146,6,5,4,141,True,34,29,29,True,34,29,29,True,34,29,29,True,34,29,29
CLEF_CD011571,llm,146,6,5,4,141,True,76,71,71,True,76,71,71,True,76,71,71,True,76,71,71
CLEF_CD011571,fusion,146,6,5,4,141,True,26,21,21,True,26,21,21,True,26,21,21,True,26,21,21
CLEF_CD011768,lexical,9160,25,76,20,9084,True,719,643,643,True,2161,2085,2085,True,2161,2085,2085,True,2161,2085,2085
CLEF_CD011768,llm,9160,25,76,20,9084,True,829,753,753,True,943,867,867,True,943,867,867,True,943,867,867
CLEF_CD011768,fusion,9160,25,76,20,9084,True,2296,2220,2220,True,3984,3908,3908,True,3984,3908,3908,True,3984,3908,3908
CLEF_CD011977,lexical,195,37,50,25,145,True,116,66,66,True,125,75,75,True,125,75,75,True,125,75,75
CLEF_CD011977,llm,195,37,50,25,145,True,103,53,53,True,167,117,117,True,167,117,117,True,167,117,117
CLEF_CD011977,fusion,195,37,50,25,145,True,97,47,47,True,176,126,126,True,176,126,126,True,176,126,126
CLEF_CD012069,lexical,3479,245,254,45,3225,True,3126,2872,2872,True,3311,3057,3057,True,3314,3060,3060,True,3317,3063,3063
CLEF_CD012069,llm,3479,245,254,45,3225,True,2327,2073,2073,True,2508,2254,2254,True,2799,2545,2545,True,2924,2670,2670
CLEF_CD012069,fusion,3479,245,254,45,3225,True,2441,2187,2187,True,2834,2580,2580,True,2851,2597,2597,True,2863,2609,2609
CLEF_CD012164,lexical,61,3,3,2,58,True,7,4,4,True,7,4,4,True,7,4,4,True,7,4,4
CLEF_CD012164,llm,61,3,3,2,58,True,23,20,20,True,23,20,20,True,23,20,20,True,23,20,20
