dataset,selected_ranker,n_total,n_includes,a13b_original_work,selected_reachable_095,selected_verified_work_095,selected_queue_only_work_095,asreview_nb_records_095,asreview_elas_u4_records_095,selected_reachable_098,selected_verified_work_098,selected_queue_only_work_098,asreview_nb_records_098,asreview_elas_u4_records_098,selected_reachable_0985,selected_verified_work_0985,selected_queue_only_work_0985,asreview_nb_records_0985,asreview_elas_u4_records_0985,selected_reachable_099,selected_verified_work_099,selected_queue_only_work_099,asreview_nb_records_099,asreview_elas_u4_records_099
CLEF_CD000996,lexical,281,6,189,True,8,0,12.8,9.4,True,8,0,12.8,9.4,True,8,0,12.8,9.4,True,8,0,12.8,9.4
CLEF_CD001261,lexical,571,22,564,True,117,71,53.6,57.8,True,142,96,62.4,62.2,True,142,96,62.4,62.2,True,142,96,62.4,62.2
CLEF_CD004414,lexical,336,7,138,True,100,79,67.0,43.6,True,100,79,67.0,43.6,True,100,79,67.0,43.6,True,100,79,67.0,43.6
CLEF_CD006468,lexical,3874,12,3778,True,105,59,183.8,64.4,True,105,59,183.8,64.4,True,105,59,183.8,64.4,True,105,59,183.8,64.4
CLEF_CD007867,lexical,943,9,835,True,39,0,246.8,194.8,True,39,0,246.8,194.8,True,39,0,246.8,194.8,True,39,0,246.8,194.8
CLEF_CD009069,lexical,1757,5,1704,True,175,11,337.4,139.2,True,175,11,337.4,139.2,True,175,11,337.4,139.2,True,175,11,337.4,139.2
CLEF_CD009642,lexical,1922,50,1903,True,219,158,202.4,104.0,True,538,477,259.4,110.2,True,868,807,805.2,713.0,True,868,807,805.2,713.0
CLEF_CD010038,lexical,8867,9,4736,True,162,124,3983.2,1150.8,True,162,124,3983.2,1150.8,True,162,124,3983.2,1150.8,True,162,124,3983.2,1150.8
CLEF_CD010239,lexical,224,10,223,True,79,65,14.8,11.2,True,79,65,14.8,11.2,True,79,65,14.8,11.2,True,79,65,14.8,11.2
CLEF_CD010558,lexical,2815,10,1873,True,552,512,483.4,222.2,True,552,512,483.4,222.2,True,552,512,483.4,222.2,True,552,512,483.4,222.2
CLEF_CD010753,lexical,2539,20,2531,True,379,298,738.0,499.4,True,737,656,1844.6,580.8,True,737,656,1844.6,580.8,True,737,656,1844.6,580.8
CLEF_CD011571,lexical,146,6,115,True,34,29,16.4,19.0,True,34,29,16.4,19.0,True,34,29,16.4,19.0,True,34,29,16.4,19.0
CLEF_CD011768,lexical,9160,25,8253,True,719,643,543.8,596.8,True,2161,2085,993.8,642.0,True,2161,2085,993.8,642.0,True,2161,2085,993.8,642.0
CLEF_CD011977,lexical,195,37,187,True,116,66,128.6,85.2,True,125,75,142.2,91.0,True,125,75,142.2,91.0,True,125,75,142.2,91.0
CLEF_CD012069,lexical,3479,245,3320,True,3126,2872,2043.2,1633.8,True,3311,3057,2475.2,2040.8,True,3314,3060,2541.4,2349.2,True,3317,3063,2755.2,2494.6
CLEF_CD012164,lexical,61,3,46,True,7,4,25.0,12.4,True,7,4,25.0,12.4,True,7,4,25.0,12.4,True,7,4,25.0,12.4
CLEF_CD012455,lexical,1593,5,1461,True,55,51,27.0,30.2,True,55,51,27.0,30.2,True,55,51,27.0,30.2,True,55,51,27.0,30.2
CLEF_CD012551,lexical,591,29,580,True,138,73,186.0,149.8,True,248,183,271.6,166.2,True,248,183,271.6,166.2,True,248,183,271.6,166.2
Cohen_ACEInhibitors,lexical,2544,41,2415,True,750,179,424.0,410.2,True,1329,758,2368.2,1640.2,True,1329,758,2368.2,1640.2,True,1329,758,2368.2,1640.2
Cohen_ADHD,lexical,851,20,415,True,109,0,312.0,206.2,True,109,0,423.0,338.4,True,109,0,423.0,338.4,True,109,0,423.0,338.4
Cohen_Antihistamines,lexical,310,16,269,True,206,139,290.0,299.0,True,206,139,290.0,299.0,True,206,139,290.0,299.0,True,206,139,290.0,299.0
Cohen_AtypicalAntipsychotics,lexical,1120,146,1120,True,846,464,764.4,711.8,True,1043,661,996.4,1004.0,True,1043,661,996.4,1004.0,True,1055,673,1111.0,1042.0
Cohen_BetaBlockers,lexical,2072,42,1984,True,934,515,1124.6,527.2,True,1958,1539,1659.2,1689.0,True,1958,1539,1659.2,1689.0,True,1958,1539,1659.2,1689.0
Cohen_CalciumChannelBlockers,lexical,1218,100,1209,True,809,124,580.2,568.6,True,952,267,685.2,627.2,True,1014,329,855.2,747.6,True,1014,329,855.2,747.6
Cohen_Estrogens,lexical,368,80,320,True,211,78,206.0,212.8,True,309,176,255.6,268.0,True,309,176,255.6,268.0,True,312,179,259.6,284.0
Cohen_NSAIDS,lexical,393,41,386,True,119,50,97.8,92.4,True,294,225,133.6,105.6,True,294,225,133.6,105.6,True,294,225,133.6,105.6
Cohen_Opiods,lexical,1915,15,1823,True,1446,1421,1405.8,1319.8,True,1446,1421,1405.8,1319.8,True,1446,1421,1405.8,1319.8,True,1446,1421,1405.8,1319.8
Cohen_OralHypoglycemics,lexical,503,136,486,True,453,395,410.4,403.4,True,472,414,437.2,478.0,True,472,414,437.2,478.0,True,486,428,458.0,486.0
Cohen_ProtonPumpInhibitors,lexical,1333,51,1283,True,1017,563,841.2,671.2,True,1100,646,900.0,759.4,True,1281,827,1117.0,766.2,True,1281,827,1117.0,766.2
Cohen_SkeletalMuscleRelaxants,lexical,1643,9,1576,True,1482,1458,1144.6,1089.2,True,1482,1458,1144.6,1089.2,True,1482,1458,1144.6,1089.2,True,1482,1458,1144.6,1089.2
Cohen_Statins,lexical,3463,85,3455,True,2486,1270,1650.0,1321.6,True,2941,1725,2810.8,2229.2,True,2941,1725,2810.8,2229.2,True,3026,1810,3282.4,2825.2
Cohen_Triptans,lexical,671,24,621,True,226,68,394.0,242.2,True,308,150,542.2,423.4,True,308,150,542.2,423.4,True,308,150,542.2,423.4
Cohen_UrinaryIncontinence,lexical,327,40,327,True,267,191,151.8,173.2,True,285,209,184.2,214.2,True,285,209,184.2,214.2,True,285,209,184.2,214.2
