feature,v4_better_mean,v4_better_median,v3_better_mean,v3_better_median
n_total,6589.125,3750.0,6343.0,2793.5
auto_rate,0.2066233872608301,0.11224724687132276,0.1332270889539062,0.05326774386364074
hr_rate,0.7933766127391699,0.8877527531286773,0.8667729110460938,0.9467322561363593
auto_include_rate,0.06051508774430427,0.03393643366592628,0.1119984243517261,0.04787062618271765
auto_exclude_rate,0.14610829951652585,0.01575412773805174,0.02122866460218008,0.010668058289130214
auto_include_count,225.375,63.5,167.4,103.5
auto_exclude_count,1304.625,60.0,34.0,21.5
human_review_count,5059.125,2041.0,6141.6,2671.0
avg_models_per_record,2.0294431057654054,2.0263232191705134,2.0835602401405247,2.0270697157254047
sprt_early_stop_rate,0.9672233739346034,0.9766052280399768,0.9518495805109468,0.9817184126578655
