dataset,n_total,auto_rate,hr_rate,auto_include_rate,auto_exclude_rate,auto_include_count,auto_exclude_count,human_review_count,avg_models_per_record,sprt_early_stop_rate,v3_work,v4_work,rule,selected_path,hybrid_work,oracle_best_work,v4_better,router_correct
Appenzeller-Herzog_2019,2868.0,0.06659693165969316,0.9334030683403068,0.0599721059972106,0.006624825662482566,172.0,19.0,2677.0,2.034170153417015,0.9759414225941423,1888.0,2659.0,auto_rate>0.0464646,V4,2659.0,1888.0,False,False
Bos_2018,4878.0,0.38212382123821237,0.6178761787617876,0.006560065600656006,0.3755637556375564,32.0,1832.0,3014.0,2.014350143501435,0.9883148831488315,1471.0,317.0,auto_exclude_count>41,V4,317.0,317.0,True,True
Brouwer_2019,38076.0,0.020091396155058304,0.9799086038449417,0.019119655425990124,0.0009717407290681794,728.0,37.0,37311.0,2.003571803760899,0.996270616661414,11510.0,30741.0,auto_exclude_count>41,V3,11510.0,11510.0,False,True
Chou_2003,1906.0,0.05299055613850997,0.94700944386149,0.00944386149003148,0.04354669464847849,18.0,83.0,1805.0,2.0220356768100736,0.9868835257082896,1741.0,1494.0,auto_rate>0.0716616,V3,1741.0,1494.0,True,False
Chou_2004,1622.0,0.42231812577065353,0.5776818742293465,0.006781750924784217,0.4155363748458693,11.0,674.0,937.0,2.0468557336621456,0.9728729963008631,1174.0,739.0,auto_exclude_count>41,V4,739.0,739.0,True,True
Donners_2021,257.0,0.24124513618677043,0.7587548638132295,0.14785992217898833,0.0933852140077821,38.0,24.0,195.0,2.1945525291828796,0.9027237354085603,129.0,184.0,auto_exclude_count>41,V3,129.0,129.0,False,True
Hall_2012,8793.0,0.748436256112817,0.251563743887183,0.02365518025702263,0.7247810758557944,208.0,6373.0,2212.0,1.8216763334470603,0.8742181280564085,4538.0,810.0,auto_exclude_count>41,V4,810.0,810.0,True,True
Jeyaraman_2020,1173.0,0.07672634271099744,0.9232736572890026,0.058823529411764705,0.017902813299232736,69.0,21.0,1083.0,2.0068201193520885,0.969309462915601,1066.0,1062.0,auto_exclude_count>41,V3,1066.0,1062.0,True,False
Leenaars_2019,5767.0,0.014392231662909658,0.9856077683370903,0.0017340038148083927,0.012658227848101266,10.0,73.0,5684.0,1.9982659961851916,0.9991329980925958,137.0,96.0,auto_exclude_count>41,V4,96.0,96.0,True,True
Leenaars_2020,7169.0,0.13321244246059422,0.8667875575394057,0.13209652671223324,0.0011159157483609987,947.0,8.0,6214.0,2.0471474403682524,0.9747524061933324,5165.0,4566.0,auto_exclude_count>41,V3,5165.0,4566.0,True,False
